Ticker,ESG_Score
NVDA,77
AAPL,72
MSFT,87
AMZN,72
GOOG,81
META,56
AVGO,76
TSLA,68
ORCL,48
AMD,71
PLTR,19
NFLX,38
CSCO,82
IBM,72
CRM,70
INTC,89
MU,72
LRCX,73
AMAT,80
BRK.B,26
JPM,80
V,60
MA,78
BAC,87
MS,62
GS,84
WFC,70
AXP,66
C,84
LLY,67
JNJ,85
ABBV,72
UNH,73
MRK,80
TMO,79
WMT,78
COST,72
HD,69
PG,60
KO,64
MCD,59
PM,86
XOM,60
CVX,61
GE,80
CAT,67
RTX,37
LIN,82
TMUS,57
MMM,83
ABT,83
ACN,83
MO,88
AEP,56
AIG,71
AMGN,76
T,76
BK,85
BAX,82
BIIB,83
BA,80
BMY,75
COF,71
CL,87
CMCSA,63
COP,64
CEG,50
CVS,74
DVN,57
EBAY,70
EMR,79
EXC,61
FDX,71
F,69
FCX,82
GD,64
GM,71
GILD,85
HAL,83
HON,70
HPQ,78
LMT,78
LOW,81
MDT,72
MET,71
MDLZ,78
NKE,70
NSC,69
PEP,81
PFE,77
QCOM,80
SPG,65
SO,60
SBUX,74
TGT,83
TXN,65
UNP,71
UPS,62
USB,64
VZ,69
DIS,68
WMB,75
